Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.716589861751152,0.5910652920962199,0.5752508361204013,0.5830508474576271
Random Forest,0.6463133640552995,0.48412698412698413,0.4080267558528428,0.44283121597096187
